average rating,num reviews, title, category
3.3,159,Remote Mouse for Fire TV,Utilities
1.0,7,Skins For Minecraft Pocket Edition,Utilities
2.8,20,Doc for Google Docs,Utilities
2.4,31,Drive for google drive,Utilities
3.3,159,Remote Mouse for Fire TV,Utilities
1.0,7,Skins For Minecraft Pocket Edition,Utilities
3.1,114,NOAA Now,Weather
2.6,36,Forecast Now,Weather
2.6,455,Weather+,Weather
3.1,114,NOAA Now,Weather
2.6,36,Forecast Now,Weather
3.7,6,Dark Sky - Hyperlocal Weather Radar and Storm Alerts,Weather
2.6,455,Weather+,Weather
3.4,5,Falcon Web Browser For Craigslist Classifieds,Web Browsers
2.5,6,Personal Info Search Master,Web Browsers
1.8,63,Free WiFi,Web Browsers
0.0,0,Encrypted browser CryptWeb,Web Browsers
2.5,6,Universal Mobile Web Browser (All In One),Web Browsers
2.5,6,Hacker Browser Elite,Web Browsers
3.0,6,Webbrowser Tool,Web Browsers
3.4,5,Falcon Web Browser For Craigslist Classifieds,Web Browsers
2.5,6,Personal Info Search Master,Web Browsers
1.8,63,Free WiFi,Web Browsers
0.0,0,Encrypted browser CryptWeb,Web Browsers
2.5,6,Universal Mobile Web Browser (All In One),Web Browsers
0.0,0,Website Navigator,Web Browsers
2.5,6,Hacker Browser Elite,Web Browsers
3.0,6,Webbrowser Tool,Web Browsers
3.7,86,Bible Verse Memory Trainer,Books & Comics
1.0,6,Coloring Book For Adults - Relaxing Anti-Stress and Therapetic Coloring Book,Books & Comics
3.6,194,Moon+ Reader Pro,Books & Comics
3.2,95,Free eBooks Pro,Books & Comics
3.9,120,Turbo Movie Storybook,Books & Comics
3.7,86,Bible Verse Memory Trainer,Books & Comics
1.0,6,Coloring Book For Adults - Relaxing Anti-Stress and Therapetic Coloring Book,Books & Comics
3.6,194,Moon+ Reader Pro,Books & Comics
3.2,95,Free eBooks Pro,Books & Comics
3.9,120,Turbo Movie Storybook,Books & Comics
3.3,22,3D Earth Map for google earth,City Info
3.2,456,GPS Maps with HD Street View,City Info
3.6,260,Tab for Google Maps & offline map,City Info
3.2,89,Nav for Google Maps,City Info
2.4,31,Skyguide Stars For Kindle,City Info
3.7,56,US Topo Maps Pro,City Info
2.8,5,3D StreetView,City Info
3.5,6,Night Sky map,City Info
3.5,6,Gps Maps Free,City Info
3.3,22,3D Earth Map for google earth,City Info
3.2,456,GPS Maps with HD Street View,City Info
3.6,260,Tab for Google Maps & offline map,City Info
